Customer ID;Age;Gender;Item Purchased;Category;Purchase Amount (USD);Location;Size;Color;Season;Review Rating;Subscription Status;Shipping Type;Promo Code Used;Previous Purchases;Payment Method;Purchase Date;WeekdayNum;Weekday;Weekend;Churn
1;55;Male;Belt;Accessories;46,9;Kentucky;L;Gray;Winter;5;Yes;Standard;0;14;Credit Card;7.01.2022;5;Friday;0;1
1;55;Male;Sweater;Clothing;48,1;Kentucky;L;Green;Spring;1;Yes;Free Shipping;0;14;Credit Card;19.03.2022;6;Saturday;1;1
1;55;Male;Sweater;Clothing;62,1;Kentucky;L;Green;Spring;5;Yes;Next Day Air;0;14;Debit Card;3.05.2022;2;Tuesday;0;1
1;55;Male;Belt;Accessories;25,0;Kentucky;L;Turquoise;Summer;5;Yes;Free Shipping;0;14;Credit Card;7.05.2022;6;Saturday;1;1
1;55;Male;Sweater;Clothing;89,8;Kentucky;L;Blue;Summer;5;Yes;2-Day Shipping;0;14;Google Pay;10.06.2022;5;Friday;0;1
1;55;Male;Sweater;Clothing;70,3;Kentucky;L;Beige;Fall;2,5;Yes;Free Shipping;0;14;Credit Card;28.08.2022;7;Sunday;1;1
1;55;Male;Sweater;Clothing;84,6;Kentucky;L;Brown;Winter;5;Yes;Express;1;14;Bank Transfer;1.01.2023;7;Sunday;1;1
1;55;Male;Sweater;Clothing;27,6;Kentucky;L;Turquoise;Spring;4,5;Yes;Free Shipping;0;14;Credit Card;11.02.2023;6;Saturday;1;1
1;55;Male;Coat;Outerwear;44,6;Kentucky;L;Red;Winter;5;Yes;Next Day Air;0;14;PayPal;4.03.2023;6;Saturday;1;1
1;55;Male;Sweater;Clothing;22,3;Kentucky;L;White;Spring;5;Yes;Standard;1;14;Credit Card;5.03.2023;7;Sunday;1;1
1;55;Male;Sweater;Clothing;100,0;Kentucky;L;Pink;Spring;4;Yes;Standard;0;14;Credit Card;29.11.2023;3;Wednesday;0;1
1;55;Male;Coat;Outerwear;78,6;Kentucky;L;Maroon;Winter;5;Yes;Standard;0;14;Debit Card;28.12.2023;4;Thursday;0;1
1;55;Male;Sweater;Clothing;64,8;Kentucky;L;Pink;Spring;5;Yes;Express;0;14;Credit Card;5.05.2024;7;Sunday;1;1
1;55;Male;Sweater;Clothing;33,4;Kentucky;L;Blue;Summer;5;Yes;Express;0;14;Debit Card;6.07.2024;6;Saturday;1;1
1;55;Male;Sneakers;Footwear;59,8;Kentucky;L;Blue;Summer;5;Yes;Express;0;14;Credit Card;9.07.2024;2;Tuesday;0;1
2;19;Male;Sweater;Clothing;45,9;Maine;L;Maroon;Fall;1;Yes;Next Day Air;0;2;Debit Card;1.09.2023;5;Friday;0;0
2;19;Male;Sneakers;Footwear;79,9;Maine;L;Navy;Fall;3;Yes;Standard;0;2;Debit Card;20.11.2024;3;Wednesday;0;0
2;19;Male;Sweater;Clothing;62,7;Maine;L;Brown;Winter;5;Yes;Standard;0;2;PayPal;4.02.2024;7;Sunday;1;0
3;50;Male;Sweater;Clothing;47,4;Massachusetts;S;White;Fall;4;Yes;Standard;0;23;Cash;4.04.2022;1;Monday;0;0
3;50;Male;Sweater;Clothing;33,1;Massachusetts;S;Blue;Spring;5;Yes;Next Day Air;0;23;Credit Card;6.05.2022;5;Friday;0;0
3;50;Male;Sneakers;Footwear;58,2;Massachusetts;S;Maroon;Fall;5;Yes;Free Shipping;0;23;Credit Card;31.05.2022;2;Tuesday;0;0
3;50;Male;Coat;Outerwear;75,7;Massachusetts;S;Blue;Winter;5;Yes;2-Day Shipping;0;23;Credit Card;19.06.2022;7;Sunday;1;0
3;50;Male;Sweater;Clothing;83,4;Massachusetts;S;White;Spring;5;Yes;Standard;0;23;Credit Card;24.08.2022;3;Wednesday;0;0
3;50;Male;Sweater;Clothing;96,0;Massachusetts;S;Purple;Spring;4,5;Yes;Standard;0;23;Credit Card;29.11.2022;2;Tuesday;0;0
3;50;Male;Sweater;Clothing;52,9;Massachusetts;S;Yellow;Summer;5;Yes;2-Day Shipping;0;23;PayPal;8.03.2023;3;Wednesday;0;0
3;50;Male;Sweater;Clothing;43,0;Massachusetts;S;White;Spring;3;Yes;Free Shipping;0;23;Credit Card;1.05.2023;1;Monday;0;0
3;50;Male;Sweater;Clothing;43,2;Massachusetts;S;Brown;Winter;5;Yes;Free Shipping;0;23;Credit Card;20.05.2023;6;Saturday;1;0
3;50;Male;Sneakers;Footwear;43,5;Massachusetts;S;Brown;Fall;2,5;Yes;Standard;1;23;Debit Card;20.05.2023;6;Saturday;1;0
3;50;Male;Sweater;Clothing;46,1;Massachusetts;S;Blue;Spring;5;Yes;Express;0;23;PayPal;24.11.2023;5;Friday;0;0
3;50;Male;Belt;Accessories;100,0;Massachusetts;S;Purple;Spring;5;Yes;Express;0;23;Debit Card;26.12.2023;2;Tuesday;0;0
3;50;Male;Jacket;Outerwear;33,1;Massachusetts;S;Blue;Summer;3;Yes;Free Shipping;0;23;PayPal;2.03.2024;6;Saturday;1;0
3;50;Male;Sweater;Clothing;36,2;Massachusetts;S;White;Spring;5;Yes;Standard;1;23;PayPal;2.03.2024;6;Saturday;1;0
3;50;Male;Sneakers;Footwear;62,3;Massachusetts;S;Green;Spring;5;Yes;2-Day Shipping;0;23;Debit Card;30.03.2024;6;Saturday;1;0
3;50;Male;Sneakers;Footwear;56,3;Massachusetts;S;Pink;Spring;3;Yes;Express;1;23;Bank Transfer;2.04.2024;2;Tuesday;0;0
3;50;Male;Sweater;Clothing;59,2;Massachusetts;S;Orange;Fall;5;Yes;Standard;0;23;Credit Card;4.04.2024;4;Thursday;0;0
3;50;Male;Sneakers;Footwear;24,7;Massachusetts;S;Pink;Spring;5;Yes;Standard;0;23;Debit Card;4.05.2024;6;Saturday;1;0
3;50;Male;Sweater;Clothing;22,7;Massachusetts;S;White;Summer;5;Yes;Standard;0;23;PayPal;28.08.2024;3;Wednesday;0;0
3;50;Male;Sweater;Clothing;54,5;Massachusetts;S;Pink;Spring;4,5;Yes;Next Day Air;0;23;Credit Card;29.08.2024;4;Thursday;0;0
3;50;Male;Sweater;Clothing;61,6;Massachusetts;S;Orange;Spring;5;Yes;Standard;0;23;Credit Card;5.09.2024;4;Thursday;0;0
3;50;Male;Sweater;Clothing;63,7;Massachusetts;S;Beige;Summer;4;Yes;Free Shipping;0;23;Credit Card;27.11.2024;3;Wednesday;0;0
3;50;Male;Sneakers;Footwear;31,7;Massachusetts;S;White;Spring;1;Yes;Standard;0;23;PayPal;29.12.2024;7;Sunday;1;0
3;50;Male;Belt;Accessories;33,9;Massachusetts;S;Brown;Fall;5;Yes;Standard;0;23;Credit Card;30.11.2024;6;Saturday;1;0
4;21;Male;Sneakers;Footwear;67,3;Rhode Island;M;Orange;Summer;5;Yes;Free Shipping;0;49;Venmo;1.01.2022;6;Saturday;1;0
4;21;Male;Blouse;Clothing;27,5;Rhode Island;M;Green;Summer;5;Yes;Express;1;49;Credit Card;8.01.2022;6;Saturday;1;0
4;21;Male;Sweater;Clothing;49,4;Rhode Island;M;Black;Winter;3,5;Yes;Express;0;49;Debit Card;29.01.2022;6;Saturday;1;0
